0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
92.7714285714,84.9142857143,116.628571429,143.285714286,150.228571429,159.628571429,171.6,175.742857143,173.885714286,172.057142857,166.8,159.314285714,155.714285714,135.971428571,110.8,97.8571428571,100.485714286,98.3428571429,94.7714285714,95.5571428571,0.0
82.7714285714,89.9142857143,93.6285714286,105.257142857,125.028571429,150.8,166.057142857,175.114285714,175.828571429,176.6,165.057142857,140.571428571,112.6,95.9428571429,93.1428571429,92.6857142857,92.7714285714,91.6,91.6,88.1,0.0
86.0571428571,90.7714285714,105.342857143,123.571428571,144.742857143,153.857142857,166.142857143,175.342857143,178.085714286,170.428571429,159.6,151.114285714,152.885714286,134.657142857,110.485714286,94.0857142857,99.6571428571,99.4571428571,98.0285714286,102.742857143,0.0
83.3142857143,91.7428571429,115.885714286,134.942857143,145.571428571,156.657142857,169.028571429,176.942857143,180.2,163.885714286,137.228571429,118.257142857,110.057142857,96.2,86.6285714286,85.9142857143,86.6857142857,87.9714285714,88.6857142857,87.8285714286,0.0
95.1,90.6,98.6,106.428571429,126.514285714,143.457142857,163.028571429,168.342857143,171.285714286,171.971428571,164.171428571,151.4,143.114285714,130.857142857,112.8,101.114285714,104.314285714,104.914285714,105.057142857,107.985714286,0.0
82.4285714286,84.2857142857,93.5714285714,110.657142857,136.885714286,161.685714286,174.257142857,173.771428571,179.942857143,165.371428571,142.428571429,114.314285714,106.285714286,98.4285714286,96.8571428571,95.0,95.7428571429,97.9428571429,98.3714285714,92.1571428571,0.0
88.8285714286,85.6857142857,91.9714285714,97.0285714286,101.857142857,126.685714286,158.942857143,175.514285714,176.742857143,167.171428571,149.657142857,135.342857143,120.714285714,101.571428571,88.8,92.2857142857,91.0857142857,87.3428571429,86.7714285714,92.0571428571,0.0
89.5285714286,86.8857142857,106.171428571,132.171428571,144.428571429,152.971428571,161.342857143,171.857142857,179.885714286,173.171428571,163.2,155.142857143,141.257142857,122.142857143,109.114285714,111.057142857,110.0,110.542857143,111.971428571,108.257142857,0.0
98.2571428571,86.9714285714,95.5428571429,115.914285714,131.628571429,140.771428571,154.114285714,171.0,178.285714286,172.114285714,165.771428571,157.0,143.085714286,120.4,106.257142857,103.285714286,104.142857143,101.6,100.6,106.1,0.0
88.9428571429,94.2285714286,104.657142857,116.714285714,122.314285714,132.971428571,151.257142857,168.828571429,175.514285714,169.371428571,165.314285714,155.771428571,138.485714286,115.6,104.0,101.828571429,100.171428571,97.5428571429,99.9714285714,105.257142857,0.0
87.4285714286,94.2857142857,111.571428571,125.885714286,127.657142857,142.314285714,160.828571429,172.6,174.285714286,176.485714286,168.428571429,151.342857143,138.314285714,125.257142857,111.971428571,101.914285714,105.057142857,103.114285714,104.257142857,104.185714286,0.0
86.4285714286,89.2857142857,99.5714285714,114.257142857,120.314285714,141.428571429,160.571428571,176.085714286,176.0,171.885714286,159.114285714,147.2,125.342857143,99.1714285714,83.6,86.2285714286,86.4285714286,83.5428571429,81.9714285714,87.7571428571,0.0
98.0142857143,88.9428571429,92.0857142857,101.942857143,112.971428571,125.571428571,146.657142857,167.085714286,183.085714286,173.6,148.657142857,123.514285714,112.2,108.285714286,100.314285714,100.228571429,102.771428571,103.0,99.0,100.0,0.0
94.1571428571,85.3714285714,89.9428571429,104.857142857,124.542857143,152.457142857,170.742857143,177.542857143,176.085714286,176.2,169.742857143,159.257142857,145.685714286,136.457142857,130.0,128.4,129.114285714,127.342857143,126.771428571,133.557142857,0.0
92.4142857143,90.3428571429,95.4857142857,104.8,117.571428571,144.514285714,168.685714286,179.371428571,177.714285714,173.285714286,161.485714286,146.571428571,130.314285714,118.514285714,112.314285714,110.771428571,112.285714286,112.285714286,112.142857143,107.214285714,0.0
78.9,91.4,119.4,137.914285714,143.742857143,152.714285714,164.342857143,173.257142857,180.8,169.714285714,148.285714286,127.257142857,120.314285714,105.857142857,93.4,85.7714285714,87.2571428571,87.0,87.0,86.0,0.0
86.4285714286,89.2857142857,117.571428571,148.057142857,171.428571429,170.428571429,174.2,175.085714286,175.685714286,173.685714286,168.342857143,150.942857143,136.628571429,125.371428571,121.857142857,118.685714286,120.114285714,117.885714286,115.742857143,113.814285714,0.0
93.3714285714,94.5142857143,103.228571429,109.742857143,119.085714286,144.542857143,166.828571429,172.828571429,171.542857143,175.057142857,172.657142857,154.514285714,132.885714286,109.857142857,93.8571428571,84.1428571429,88.2857142857,89.4857142857,87.3428571429,85.4142857143,0.0
85.4,95.4,117.4,139.571428571,154.057142857,167.685714286,172.142857143,171.8,173.714285714,172.028571429,166.942857143,160.742857143,140.428571429,113.371428571,95.9142857143,98.8,97.8571428571,95.8571428571,94.4285714286,91.6428571429,0.0
96.7,84.2,100.2,125.971428571,146.142857143,152.942857143,162.057142857,172.6,177.428571429,174.857142857,167.028571429,158.428571429,142.514285714,129.485714286,120.771428571,120.742857143,121.971428571,121.571428571,120.285714286,120.428571429,0.0
98.6571428571,96.3714285714,99.9428571429,118.742857143,137.885714286,150.314285714,158.0,167.2,174.028571429,173.085714286,175.4,154.171428571,125.8,102.742857143,102.857142857,102.8,103.857142857,103.485714286,102.342857143,97.9142857143,0.0
80.7,85.2,97.2,115.514285714,130.971428571,152.485714286,166.457142857,173.314285714,172.114285714,174.2,156.571428571,129.085714286,102.514285714,97.6571428571,93.9714285714,92.8,92.5714285714,92.3428571429,92.7714285714,90.5571428571,0.0
85.2285714286,89.0857142857,101.371428571,110.828571429,114.142857143,131.828571429,159.257142857,179.742857143,179.342857143,167.142857143,152.771428571,135.657142857,122.457142857,103.057142857,94.8,90.4,91.8,89.9714285714,89.6857142857,87.8285714286,0.0
92.8,76.8,102.8,132.057142857,150.857142857,156.257142857,170.6,176.685714286,175.2,175.657142857,165.571428571,150.771428571,130.571428571,118.6,108.028571429,109.828571429,112.2,111.342857143,107.771428571,104.557142857,0.0
86.5714285714,89.7142857143,121.428571429,143.2,141.085714286,144.314285714,156.685714286,171.057142857,180.571428571,169.6,157.057142857,138.8,121.257142857,101.257142857,92.3142857143,90.1142857143,90.8857142857,92.3428571429,91.7714285714,91.0571428571,0.0
92.0857142857,93.6571428571,118.514285714,140.171428571,152.171428571,157.571428571,170.771428571,177.971428571,176.885714286,174.914285714,170.4,152.828571429,138.657142857,118.428571429,100.142857143,86.1428571429,89.2,90.6857142857,90.5428571429,93.1142857143,0.0
