,,set1,set2,set3,ste4,ste5,set6,set7,mean,STD,standardfehler
1,VBDTW,"0,58","0,5","0,5","0,49","0,56","0,52","0,48","0,5185714286","0,0376069902","0,1066687925"
2,DDTW,"0,35","0,3","0,36","0,38","0,34","0,38","0,37","0,3542857143","0,0281999662",
3,FBDTW,"0,65","0,67","0,59","0,67","0,59","0,64","0,58","0,6271428571","0,0394606495",
4,AFBDTW,"0,65","0,71","0,61","0,67","0,6","0,64","0,58","0,6371428571","0,0446147531",
5,CNN,"0,67","0,79","0,7","0,82","0,8","0,81","0,75","0,7628571429","0,0582277957",
